:			-	-	-	-	
Black	Dot	500	790	0.45	0.17586815	0.19304611	
Black	Dot	501	791	0.25	0.03898905	0.008228832	
Black	Dot	502	793	0.45	0.04075145	0.0909775	
Black	Dot	503	795	0.45	0.11606589	0.2791392	
Black	Dot	504	796	0.4	0.09277901	0.07854548	
Black	Dot	505	798	0.35	0.0705622	0.0477652	
Black	Dot	506	800	0.4	0.45535585	0.28618294	
Black	Dot	507	801	0.47	0.06761699	0.06614061	
Black	Dot	508	802	0.4	0.0726438	0.07468467	
Black	Dot	509	803	0.35	0.22581072	0.22491342	
Black	Dot	510	805	0.7	0.83258295	0.25115523	
Black	Dot	511	806	0.25	0.04613672	0.040364318	
Black	Dot	512	809	0.35	0.025856331	0.12768173	
Black	Dot	513	810	0.4	0.064002044	0.06492922	
Black	Dot	514	812	0.415	0.92703164	0.04202797	
Black	Dot	515	813	0.36	0.062833644	0.06591881	
Black	Dot	516	814	0.4	0.049122144	0.106509976	
Black	Dot	517	815	0.4	0.040255718	0.07715447	
Black	Dot	518	816	0.35	0.038600277	0.0608173	
Black	Dot	519	817	0.4	0.09722956	0.2216204	
Black	Dot	520	818	0.3	0.2518552	0.27328178	
Black	Dot	521	819	0.4	0.2961862	0.11534535	
Black	Dot	522	821	0.21	0.18914439	0.17014053	
Black	Dot	523	825	0.265	0.074442886	0.0656699	
Black	Dot	524	827	0.365	0.121680826	0.05046137	
Black	Dot	525	828	0.27	0.35745737	0.20591022	
Black	Dot	526	829	0.26	0.38982198	0.20418462	
Black	Dot	527	831	0.35	0.06918076	0.104771554	
Black	Dot	528	832	0.3	0.062446833	0.23480946	
Black	Dot	529	833	0.415	0.0793979	0.62725043	
Black	Dot	530	834	0.315	0.025382066	0.08601968	
Black	Dot	531	836	0.45	0.60890996	0.2026271	
Black	Dot	532	837	0.455	0.07404061	0.08992558	
Black	Dot	533	839	0.36	0.14230649	0.0133372275	
Black	Dot	534	841	0.36	0.17251176	0.030718368	
Black	Dot	535	842	0.75	0.8994981	0.11531804	
Black	Dot	536	843	0.41	0.18481971	0.11039508	
Black	Dot	537	844	0.35	0.20608552	0.0914192	
Black	Dot	538	845	0.455	0.08730334	0.059412777	
Black	Dot	539	847	0.32	0.14999183	0.23613429	
Black	Dot	540	848	0.3	0.19721577	0.37325642	
Black	Dot	541	851	0.305	0.20223658	0.070955865	
Black	Dot	542	852	0.25	0.068070635	0.063525744	
Black	Dot	543	853	0.25	0.06861166	0.15210427	
Black	Dot	544	854	0.25	0.36099908	0.16392425	
Black	Dot	545	855	0.41	0.116677284	0.17705967	
Black	Dot	546	857	0.35	0.31706807	0.10784419	
Black	Dot	547	858	0.26	0.06921377	0.20290467	
Black	Dot	548	860	0.31	0.37202	0.12336772	
Black	Dot	549	861	0.35	0.08451205	0.10240065	
Black	Dot	550	862	0.35	0.22260036	0.06475693	
Black	Dot	551	863	0.45	0.069731526	0.101192094	
Black	Dot	552	865	0.315	0.07744792	0.03955111	
Black	Dot	553	866	0.305	0.078364134	0.11899368	
Black	Dot	554	867	0.355	0.029583376	0.0655671	
Black	Dot	555	868	0.3	0.08539795	0.07600777	
Black	Dot	556	869	0.2	0.3213882	0.38110977	
Black	Dot	557	872	0.3	0.254316	0.1493156	
Black	Dot	558	873	0.26	0.021705968	0.050344754	
Black	Dot	559	874	0.3	0.10745901	0.12121459	
Black	Dot	560	875	0.3	0.10250786	0.07458468	
Black	Dot	561	877	0.35	0.29257223	0.1968519	
Black	Dot	562	878	0.3	0.22558448	0.1461506	
Black	Dot	563	884	0.3	0.07737068	0.27142188	
Black	Dot	564	885	0.55	0.8349013	0.608347	
Black	Dot	565	886	0.3	0.22547981	0.075979166	
Black	Dot	566	888	0.3	0.025472594	0.24043782	
Black	Dot	567	889	0.35	0.03180567	0.15506041	
Black	Dot	568	890	0.26	0.09265582	0.115844704	
Black	Dot	569	892	0.25	0.0650057	0.07668473	
Black	Dot	570	895	0.3	0.5772337	0.07959131	
Black	Dot	571	896	0.26	0.12153114	0.016180472	
Black	Dot	572	897	0.3	0.20562	0.17343998	
Black	Dot	573	898	0.6	0.9664999	0.22192377	
Black	Dot	574	899	0.25	0.106669076	0.06607732	
Black	Dot	575	901	0.31	0.123330794	0.035753343	
Black	Dot	576	902	0.25	0.40638897	0.37067372	
Black	Dot	577	904	0.21	0.44511634	0.1188579	
Black	Dot	578	906	0.25	0.32722253	0.18852635	
Black	Dot	579	908	0.25	0.15170932	0.015540623	
Black	Dot	580	909	0.3	0.3157809	0.040786527	
Black	Dot	581	910	0.31	0.08875417	0.065061964	
Black	Dot	582	911	0.3	0.3265741	0.32175103	
Black	Dot	583	913	0.155	0.1184026	0.14947546	
Black	Dot	584	914	0.3	0.11393703	0.055731095	
Black	Dot	585	917	0.36	0.14411812	0.22469717	
Black	Dot	586	920	0.25	0.08637084	0.26673022	
Black	Dot	587	922	0.2	0.069823936	0.20239778	
Black	Dot	588	924	0.35	0.061823018	0.16704595	
Black	Dot	589	925	0.305	0.8866354	0.51542956	
Black	Dot	590	926	0.3	0.07073789	0.07073789	
Black	Dot	591	928	0.2	0.06580673	0.073579304	
Black	Dot	592	930	0.31	0.066263884	0.064774364	
Black	Dot	593	931	0.31	0.06478506	0.061314918	
Black	Dot	594	933	0.3	0.0626837	0.11328891	
Black	Dot	595	938	0.305	0.15887666	0.15342315	
Black	Dot	596	939	0.35	0.23809671	0.28305164	
Black	Dot	597	941	0.205	0.12081594	0.18201359	
Black	Dot	598	942	0.32	0.15324825	0.2810774	
Black	Dot	599	943	0.32	0.10503507	0.13207431	
Black	Dot	600	945	0.35	0.26851568	0.44289908	
Black	Dot	601	946	0.36	0.114122085	0.083276846	
Black	Dot	602	947	0.25	0.23960078	0.32177782	
Black	Dot	603	954	0.4	0.034887347	0.12521552	
Black	Dot	604	955	0.355	0.19990453	0.643809	
Black	Dot	605	957	0.255	0.019854598	0.019000927	
Black	Dot	606	958	0.3	0.2233196	0.059793282	
Black	Dot	607	959	0.2	0.046469957	0.44033653	
Black	Dot	608	961	0.15	0.073971555	0.046519544	
Black	Dot	609	964	0.255	0.033728782	0.22649297	
Black	Dot	610	966	0.35	0.03821672	0.034751598	
Black	Dot	611	968	0.26	0.4673754	0.19595516	
Black	Dot	612	969	0.35	0.16792585	0.11937006	
Black	Dot	613	970	0.2	0.03177577	0.050952926	
Black	Dot	614	971	0.3	0.15175164	0.05025828	
Black	Dot	615	972	0.4	0.090432286	0.2934421	
Black	Dot	616	974	0.3	0.27915174	0.4123098	
Black	Dot	617	976	0.3	0.034887347	0.045452327	
Black	Dot	618	979	0.3	0.31405792	0.104198374	
Black	Dot	619	980	0.15	0.19252308	0.19225086	
Black	Dot	620	981	0.31	0.070135675	0.07887095	
Black	Dot	621	982	0.15	0.21694577	0.08183263	
Black	Dot	622	983	0.3	0.13608123	0.32120305	
Black	Dot	623	984	0.35	0.07272351	0.045762353	
Black	Dot	624	991	0.365	0.20040594	0.10146069	
Black	Dot	625	994	0.5	0.11851107	0.08018202	
Black	Dot	626	995	0.355	0.45011175	0.28291136	
Black	Dot	627	997	0.4	0.08730334	0.15191594	
Black	Dot	628	999	0.35	0.17805961	0.10227073	
Black	Dot	629	1000	0.2	0.08134405	0.22143798	
Black	Dot	630	1001	0.35	0.0660771	0.2840016	
Black	Dot	631	1002	0.365	0.40006554	0.7170248	
Black	Dot	632	1003	0.4	0.08730334	0.059412777	
Black	Dot	633	1004	0.21	0.06529706	0.048448067	
Black	Dot	634	1006	0.42	0.07087813	0.06397622	
Black	Dot	635	1007	0.3	0.24205373	0.2794147	
Black	Dot	636	1008	0.2	0.08730334	0.032355864	
Black	Dot	637	1009	0.25	0.13866629	0.1672996	
Black	Dot	638	1011	0.35	0.31005797	0.4137524	
Black	Dot	639	1012	0.35	0.086592704	0.10846918	
Black	Dot	640	1013	0.2	0.06721617	0.12324622	
Black	Dot	641	1015	0.265	0.2778771	0.23109087	
Black	Dot	642	1016	0.3	0.024115423	0.07990403	
Black	Dot	643	1017	0.25	0.059962243	0.56599736	
Black	Dot	644	1018	0.615	0.77151203	0.871444	
Black	Dot	645	1019	0.25	0.50223607	0.5604571	
Black	Dot	646	1020	0.2	0.03695752	0.092885666	
Black	Dot	647	1024	0.205	0.28725293	0.23771052	
Black	Dot	648	1025	0.255	0.03324107	0.20606428	
Black	Dot	649	1026	0.315	0.23073149	0.14771014	
Black	Dot	650	1027	0.25	0.14036629	0.13959642	
Black	Dot	651	1029	0.15	0.040954564	0.014540999	
Black	Dot	652	1030	0.32	0.046171237	0.09016576	
Black	Dot	653	1031	0.3	0.1787758	0.35318375	
Black	Dot	654	1033	0.305	0.09487452	0.115043715	
Black	Dot	655	1034	0.4	0.08730334	0.15375075	
Black	Dot	656	1036	0.25	0.17874113	0.0636104	
Black	Dot	657	1037	0.5	0.56780624	0.07472349	
Black	Dot	658	1039	0.3	0.4421993	0.27593178	
Black	Dot	659	1040	0.455	0.17496154	0.27847865	
Black	Dot	660	1042	0.35	0.08730334	0.08730334	
Black	Dot	661	1043	0.465	0.92703164	0.12119527	
Black	Dot	662	1044	0.3	0.09739823	0.13751364	
Black	Dot	663	1045	0.25	0.06725931	0.085387744	
Black	Dot	664	1046	0.55	0.76644164	0.6368157	
Black	Dot	665	1048	0.3	0.051384483	0.043974992	
Black	Dot	666	1049	0.35	0.047189947	0.0923524	
Black	Dot	667	1050	0.305	0.13489929	0.6555494	
Black	Dot	668	1051	0.2	0.121062756	0.22757664	
Black	Dot	669	1052	0.35	0.07190872	0.107716516	
Black	Dot	670	1054	0.4	0.46589994	0.20505439	
Black	Dot	671	1055	0.35	0.06837004	0.16250612	
Black	Dot	672	1057	0.205	0.061069846	0.09589682	
Black	Dot	673	1058	0.3	0.028906817	0.07390979	
Black	Dot	674	1061	0.4	0.18932475	0.32794246	
Black	Dot	675	1062	0.31	0.44678634	0.43791977	
Black	Dot	676	1063	0.3	0.11633894	0.37679863	
Black	Dot	677	1065	0.85	0.9821534	0.24925931	
Black	Dot	678	1066	0.35	0.2782832	0.30109408	
Black	Dot	679	1068	0.25	0.24263829	0.117293134	
Black	Dot	680	1069	0.305	0.22000675	0.11670315	
Black	Dot	681	1070	0.25	0.13314173	0.40416595	
Black	Dot	682	1071	0.2	0.121750645	0.1789032	
Black	Dot	683	1072	0.255	0.08568107	0.18130463	
Black	Dot	684	1073	0.15	0.09372902	0.33716527	
Black	Dot	685	1077	0.31	0.08891702	0.028324414	
Black	Dot	686	1078	0.65	0.36183602	0.5070589	
Black	Dot	687	1079	0.4	0.18664283	0.10968108	
Black	Dot	688	1081	0.55	0.09893915	0.101208724	
Black	Dot	689	1083	0.25	0.10930103	0.12581985	
Black	Dot	690	1085	0.16	0.03439505	0.1196066	
Black	Dot	691	1086	0.2	0.1706731	0.22501689	
Black	Dot	692	1087	0.3	0.051757645	0.092975214	
Black	Dot	693	1088	0.1	0.12214213	0.22158627	
Black	Dot	694	1089	0.155	0.8363033	0.19613682	
Black	Dot	695	1092	0.15	0.0644682	0.12393902	
Black	Dot	696	1093	0.255	0.08475598	0.07450293	
Black	Dot	697	1094	0.15	0.03270475	0.037108976	
Black	Dot	698	1098	0.3	0.070646435	0.077846915	
Black	Dot	699	1099	0.205	0.112945646	0.119312085	
Black	Dot	700	1100	0.45	0.035600584	0.09932611	
Black	Dot	701	1101	0.25	0.17544588	0.37071368	
Black	Dot	702	1103	0.35	0.046271544	0.09336185	
Black	Dot	703	1104	0.355	0.03743726	0.17071731	
Black	Dot	704	1105	0.35	0.026831653	0.015803143	
Black	Dot	705	1106	0.355	0.34737143	0.14063522	
Black	Dot	706	1107	0.4	0.051591527	0.048377197	
Black	Dot	707	1109	0.35	0.06522087	0.07068752	
Black	Dot	708	1111	0.305	0.11947318	0.1982669	
Black	Dot	709	1113	0.55	0.11609255	0.13496844	
Black	Dot	710	1114	0.25	0.11609174	0.11113889	
Black	Dot	711	1116	0.215	0.04179154	0.16127174	
Black	Dot	712	1117	0.2	0.06697572	0.065605976	
Black	Dot	713	1118	0.3	0.17553021	0.07542864	
Black	Dot	714	1120	0.2	0.27103427	0.39080042	
Black	Dot	715	1122	0.4	0.055778187	0.053686276	
Black	Dot	716	1123	0.35	0.080426924	0.16998307	
Black	Dot	717	1124	0.25	0.16342318	0.07008711	
Black	Dot	718	1125	0.255	0.3129791	0.30993125	
Black	Dot	719	1127	0.35	0.06301795	0.20446798	
Black	Dot	720	1129	0.31	0.17719872	0.06891611	
Black	Dot	721	1130	0.3	0.07698841	0.16380106	
Black	Dot	722	1132	0.2	0.1081294	0.28446436	
Black	Dot	723	1133	0.26	0.2543287	0.23059465	
Black	Dot	724	1134	0.35	0.09700079	0.24756493	
Black	Dot	725	1135	0.3	0.1293121	0.124714136	
Black	Dot	726	1136	0.56	0.032218114	0.05082532	
Black	Dot	727	1138	0.4	0.010425808	0.029991712	
Black	Dot	728	1140	0.35	0.25734293	0.11925662	
Black	Dot	729	1141	0.36	0.83785176	0.12784742	
Black	Dot	730	1142	0.35	0.22400996	0.31164005	
Black	Dot	731	1143	0.25	0.019164218	0.07011462	
Black	Dot	732	1144	0.3	0.11521269	0.1345046	
Black	Dot	733	1145	0.455	0.09357492	0.13167123	
Black	Dot	734	1146	0.3	0.020312224	0.01739439	
Black	Dot	735	1147	0.6	0.7388681	0.8028341	
Black	Dot	736	1149	0.55	0.14469554	0.07466908	
Black	Dot	737	1150	0.55	0.5245033	0.9051832	
Black	Dot	738	1151	0.455	0.102467775	0.123539664	
Black	Dot	739	1152	0.45	0.08051354	0.14050083	
Black	Dot	740	1153	0.255	0.08789552	0.06932573	
Black	Dot	741	1154	0.35	0.06828938	0.06424134	
Black	Dot	742	1155	0.255	0.024771463	0.038013056	
Black	Dot	743	1156	0.4	0.087303296	0.17226174	
Black	Dot	744	1158	0.77	0.816901	0.24688174	
Black	Dot	745	1161	0.25	0.093386315	0.16636808	
Black	Dot	746	1162	0.405	0.09095287	0.28962475	
Black	Dot	747	1163	0.55	0.7051951	0.3882637	
Black	Dot	748	1164	0.35	0.09407473	0.1822059	
Black	Dot	749	1165	0.4	0.041620843	0.113739744	
Black	Dot	750	1166	0.46	0.6094617	0.23747952	
Black	Dot	751	1167	0.155	0.07839617	0.048720326	
Black	Dot	752	1168	0.45	0.0639335	0.31325144	
Black	Dot	753	1170	0.7	0.3513939	0.37854642	
Black	Dot	754	1171	0.615	0.83785176	0.3214232	
Black	Dot	755	1172	0.2	0.22644155	0.29258838	
Black	Dot	756	1175	0.35	0.07626513	0.029203862	
Black	Dot	757	1176	0.305	0.0522442	0.037479248	
Black	Dot	758	1177	0.55	0.10012474	0.22926712	
Black	Dot	759	1179	0.305	0.22519238	0.10648352	
Black	Dot	760	1180	0.25	0.03542522	0.074746534	
Black	Dot	761	1181	0.31	0.06429475	0.18655346	
Black	Dot	762	1183	0.32	0.05448222	0.19998085	
Black	Dot	763	1184	0.3	0.27724835	0.27204555	
Black	Dot	764	1185	0.6	0.8513281	0.761402	
Black	Dot	765	1186	0.3	0.050996434	0.0949502	
Black	Dot	766	1187	0.405	0.4191765	0.22426492	
Black	Dot	767	1190	0.205	0.06936763	0.06826264	
Black	Dot	768	1191	0.205	0.07238015	0.16157904	
Black	Dot	769	1192	0.305	0.32131055	0.20500705	
Black	Dot	770	1197	0.55	0.073289104	0.039996427	
Black	Dot	771	1199	0.21	0.85667616	0.8028341	
Black	Dot	772	1200	0.15	0.025643144	0.015382299	
Black	Dot	773	1201	0.26	0.09395672	0.23089363	
Black	Dot	774	1202	0.55	0.92313737	0.90270954	
Black	Dot	775	1203	0.105	0.06981845	0.18978149	
Black	Dot	776	1204	0.25	0.15529482	0.044511784	
Black	Dot	777	1205	0.3	0.039679896	0.09186694	
Black	Dot	778	1206	0.15	0.113776386	0.04877886	
Black	Dot	779	1207	0.35	0.06512018	0.1263104	
Black	Dot	780	1208	0.2	0.02329052	0.039053556	
Black	Dot	781	1209	0.4	0.8717789	0.11738258	
Black	Dot	782	1212	0.4	0.037190787	0.25362745	
Black	Dot	783	1213	0.25	0.08361849	0.08361849	
Black	Dot	784	1214	0.2	0.0672326	0.07187839	
Black	Dot	785	1216	0.25	0.03448509	0.15191594	
Black	Dot	786	1218	0.3	0.010191524	0.038014244	
Black	Dot	787	1219	0.3	0.028718058	0.12726098	
Black	Dot	788	1220	0.3	0.042198546	0.04577884	
Black	Dot	789	1223	0.25	0.039407548	0.10381891	
Black	Dot	790	1227	0.5	0.89588875	0.070321165	
Black	Dot	791	1228	0.4	0.117265664	0.07368814	
Black	Dot	792	1230	0.31	0.18840414	0.07823326	
Black	Dot	793	1238	0.4	0.12088734	0.042616505	
Black	Dot	794	1240	0.3	0.11362147	0.19088006	
Black	Dot	795	1241	0.365	0.2991806	0.23176955	
Black	Dot	796	1243	0.26	0.22761858	0.38461506	
Black	Dot	797	1247	0.26	0.032943983	0.17402084	
Black	Dot	798	1249	0.255	0.19422652	0.2828675	
Black	Dot	799	1250	0.35	0.051384505	0.043974992	
Black	Dot	800	1251	0.305	0.10391943	0.099959895	
Black	Dot	801	1252	0.2	0.040534716	0.043251514	
Black	Dot	802	1256	0.25	0.017995225	0.029036181	
Black	Dot	803	1257	0.505	0.06432422	0.057185918	
Black	Dot	804	1259	0.415	0.40311342	0.29571006	
Black	Dot	805	1260	0.3	0.11232628	0.18095982	
Black	Dot	806	1263	0.35	0.047427505	0.06678396	
Black	Dot	807	1266	0.2	0.08197155	0.28004083	
Black	Dot	808	1268	0.25	0.16668592	0.11720162	
Black	Dot	809	1269	0.45	0.89955246	0.46589994	
Black	Dot	810	1271	0.35	0.029574566	0.035037532	
Black	Dot	811	1273	0.25	0.088613056	0.43300524	
Black	Dot	812	1275	0.3	0.1685326	0.53001565	
Black	Dot	813	1277	0.35	0.6519473	0.18229721	
Black	Dot	814	1279	0.55	0.8993477	0.9333764	
Black	Dot	815	1281	0.3	0.06768599	0.0062461053	
Black	Dot	816	1283	0.45	0.46247688	0.6519473	
Black	Dot	817	1284	0.315	0.18131033	0.22862259	
Black	Dot	818	1286	0.2	0.03898905	0.03898905	
Black	Dot	819	1288	0.45	0.187937	0.2313907	
Black	Dot	820	1289	0.4	0.069729835	0.09634731	
Black	Dot	821	1291	0.405	0.6519473	0.3220613	
Black	Dot	822	1292	0.3	0.03507798	0.016062956	
Black	Dot	823	1293	0.41	0.07309167	0.061824486	
Black	Dot	824	1294	0.25	0.041721843	0.23064414	
Black	Dot	825	1295	0.4	0.07637189	0.08896769	
Black	Dot	826	1296	0.3	0.026393563	0.43243828	
Black	Dot	827	1297	0.4	0.08730334	0.16108827	
Black	Dot	828	1300	0.45	0.4411114	0.12430491	
Black	Dot	829	1301	0.35	0.05562485	0.37584716	
Black	Dot	830	1303	0.3	0.2991672	0.11548695	
Black	Dot	831	1306	0.6	0.7143426	0.22512083	
Black	Dot	832	1307	0.35	0.11927167	0.17648867	
Black	Dot	833	1309	0.35	0.052670497	0.07304794	
Black	Dot	834	1313	0.3	0.08362778	0.06548564	
Black	Dot	835	1314	0.315	0.08265545	0.3546432	
Black	Dot	836	1315	0.45	0.0719838	0.0875859	
Black	Dot	837	1316	0.65	0.8761441	0.24045295	
Black	Dot	838	1318	0.32	0.06533259	0.05898681	
Black	Dot	839	1320	0.4	0.20670491	0.23164035	
Black	Dot	840	1321	0.4	0.020640165	0.017810157	
Black	Dot	841	1322	0.35	0.32129437	0.5232628	
Black	Dot	842	1323	0.25	0.13141935	0.035543464	
Black	Dot	843	1325	0.4	0.2224547	0.4824165	
Black	Dot	844	1326	0.25	0.12032537	0.1979449	
Black	Dot	845	1330	0.3	0.6519473	0.36488327	
Black	Dot	846	1331	0.26	0.06719168	0.23233113	
Black	Dot	847	1332	0.155	0.24083136	0.36371395	
Black	Dot	848	1333	0.365	0.034887347	0.17226174	
Black	Dot	849	1334	0.505	0.104811236	0.39645442	
Black	Dot	850	1336	0.35	0.34612575	0.13326055	
Black	Dot	851	1338	0.65	0.6204974	0.080622345	
Black	Dot	852	1340	0.355	0.3858163	0.49378753	
Black	Dot	853	1341	0.4	0.12831935	0.05951064	
Black	Dot	854	1343	0.205	0.10348895	0.07121046	
Black	Dot	855	1344	0.25	0.046784934	0.057722524	
Black	Dot	856	1345	0.4	0.11585109	0.181653	
Black	Dot	857	1347	0.5	0.08730334	0.17226174	
Black	Dot	858	1348	0.35	0.08730334	0.15375075	
Black	Dot	859	1349	0.4	0.17952853	0.83785176	
Black	Dot	860	1350	0.3	0.21168736	0.32185826	
Black	Dot	861	1351	0.35	0.0874768	0.08589714	
Black	Dot	862	1354	0.205	0.10099152	0.13298358	
Black	Dot	863	1355	0.35	0.03909298	0.08579939	
Black	Dot	864	1356	0.205	0.041290052	0.04393302	
Black	Dot	865	1358	0.35	0.1287993	0.07179816	
Black	Dot	866	1359	0.25	0.02985714	0.10212371	
Black	Dot	867	1360	0.25	0.046351463	0.08140444	
Black	Dot	868	1361	0.3	0.11113748	0.12115535	
Black	Dot	869	1362	0.15	0.07948124	0.13349798	
Black	Dot	870	1364	0.405	0.24438433	0.22321916	
Black	Dot	871	1365	0.35	0.18421736	0.10364507	
Black	Dot	872	1366	0.25	0.026036536	0.08567274	
Black	Dot	873	1367	0.35	0.06829027	0.07407528	
Black	Dot	874	1368	0.45	0.105982006	0.08519754	
Black	Dot	875	1369	0.2	0.080749005	0.09864946	
Black	Dot	876	1372	0.3	0.08135767	0.26626232	
Black	Dot	877	1374	0.25	0.189098	0.6079781	
Black	Dot	878	1375	0.3	0.14488855	0.12225973	
Black	Dot	879	1376	0.5	0.015422425	0.03569345	
Black	Dot	880	1377	0.3	0.27053162	0.1190114	
Black	Dot	881	1378	0.4	0.026036523	0.08567274	
Black	Dot	882	1379	0.5	0.22604762	0.46589994	
Black	Dot	883	1382	0.3	0.07924216	0.11635441	
Black	Dot	884	1386	0.15	0.12145548	0.11855302	
Black	Dot	885	1387	0.4	0.07876214	0.08940505	
Black	Dot	886	1388	0.35	0.064341016	0.09460646	
Black	Dot	887	1389	0.255	0.026036523	0.08567274	
Black	Dot	888	1390	0.265	0.11507573	0.42326945	
Black	Dot	889	1391	0.35	0.57203764	0.11859506	
Black	Dot	890	1393	0.2	0.0280202	0.06870036	
Black	Dot	891	1394	0.35	0.1967954	0.26398596	
Black	Dot	892	1395	0.35	0.13523601	0.072688445	
Black	Dot	893	1396	0.6	0.05525811	0.09962176	
Black	Dot	894	1397	0.35	0.029471062	0.04187618	
Black	Dot	895	1398	0.255	0.257187	0.18745609	
Black	Dot	896	1400	0.47	0.9561871	0.9362384	
Black	Dot	897	1401	0.265	0.026036536	0.08567274	
Black	Dot	898	1403	0.35	0.122128315	0.052565534	
Black	Dot	899	1405	0.35	0.08276694	0.07404849	
Black	Dot	900	1406	0.45	0.22842865	0.10225888	
Black	Dot	901	1407	0.4	0.09528535	0.021906003	
Black	Dot	902	1408	0.205	0.06768213	0.06551365	
Black	Dot	903	1409	0.3	0.18133317	0.15637372	
Black	Dot	904	1410	0.5	0.06259354	0.0143118715	
Black	Dot	905	1411	0.3	0.093439296	0.24881579	
Black	Dot	906	1412	0.3	0.026036523	0.08567274	
Black	Dot	907	1413	0.55	0.19886541	0.1415805	
Black	Dot	908	1415	0.205	0.35949028	0.19261317	
Black	Dot	909	1416	0.265	0.037297077	0.17028607	
Black	Dot	910	1417	0.205	0.104235515	0.062572554	
Black	Dot	911	1418	0.3	0.22521609	0.119850926	
Black	Dot	912	1419	0.46	0.19252308	0.16108827	
Black	Dot	913	1421	0.5	0.44042233	0.5514455	
Black	Dot	914	1423	0.45	0.37502423	0.22835135	
Black	Dot	915	1424	0.35	0.02452808	0.12733972	
Black	Dot	916	1425	0.3	0.17724903	0.40108684	
Black	Dot	917	1426	0.3	0.21974434	0.26104155	
Black	Dot	918	1427	0.31	0.036709156	0.05248443	
Black	Dot	919	1429	0.3	0.13343322	0.19477218	
Black	Dot	920	1430	0.35	0.036064114	0.03972358	
Black	Dot	921	1431	0.31	0.20562	0.18445584	
Black	Dot	922	1432	0.205	0.29167908	0.2067546	
Black	Dot	923	1433	0.3	0.026036536	0.08567274	
Black	Dot	924	1434	0.25	0.23534103	0.4596416	
Black	Dot	925	1437	0.3	0.052187946	0.074548654	
Black	Dot	926	1438	0.35	0.3850833	0.1771125	
Black	Dot	927	1439	0.4	0.087303296	0.024076663	
Black	Dot	928	1440	0.3	0.03752537	0.024341168	
Black	Dot	929	1441	0.4	0.07223824	0.07952074	
Black	Dot	930	1442	0.2	0.13402614	0.11642868	
Black	Dot	931	1443	0.505	0.0958543	0.070743054	
Black	Dot	932	1444	0.25	0.019833365	0.071855605	
Black	Dot	933	1446	0.3	0.23253338	0.32143655	
Black	Dot	934	1449	0.25	0.23963867	0.07808392	
Black	Dot	935	1450	0.35	0.08730334	0.051384483	
Black	Dot	936	1451	0.31	0.44318184	0.1682547	
Black	Dot	937	1452	0.65	0.2015816	0.12743959	
Black	Dot	938	1453	0.3	0.041203268	0.05981124	
Black	Dot	939	1454	0.35	0.10839135	0.06738621	
Black	Dot	940	1457	0.355	0.10755408	0.11034697	
Black	Dot	941	1458	0.4	0.26550967	0.2791133	
Black	Dot	942	1459	0.2	0.064105794	0.1539738	
Black	Dot	943	1460	0.305	0.21521743	0.060295142	
Black	Dot	944	1461	0.25	0.119529806	0.24485606	
Black	Dot	945	1462	0.15	0.036681544	0.030385323	
Black	Dot	946	1463	0.4	0.53295934	0.3143109	
Black	Dot	947	1466	0.2	0.10746306	0.15422156	
Black	Dot	948	1468	0.3	0.026036523	0.08567274	
Black	Dot	949	1469	0.2	0.10198603	0.4169554	
Black	Dot	950	1470	0.2	0.70083624	0.025812963	
Black	Dot	951	1471	0.155	0.032171093	0.07474843	
Black	Dot	952	1472	0.3	0.10123021	0.10100424	
Black	Dot	953	1473	0.26	0.2449991	0.12007374	
Black	Dot	954	1474	0.2	0.035589304	0.05124165	
Black	Dot	955	1475	0.35	0.087303296	0.1345974	
Black	Dot	956	1476	0.2	0.06432143	0.035484232	
Black	Dot	957	1477	0.2	0.09345474	0.17258894	
Black	Dot	958	1481	0.2	0.3252394	0.025879346	
Black	Dot	959	1483	0.3	0.113132186	0.19522622	
Black	Dot	960	1484	0.26	0.1830557	0.12982365	
Black	Dot	961	1485	0.3	0.04631385	0.043460544	
Black	Dot	962	1486	0.35	0.2851709	0.22846064	
Black	Dot	963	1487	0.25	0.066072054	0.24965088	
Black	Dot	964	1488	0.3	0.32156053	0.27314588	
Black	Dot	965	1490	0.25	0.12014503	0.071097404	
Black	Dot	966	1496	0.3	0.026527803	0.22071545	
Black	Dot	967	1498	0.305	0.0791448	0.044852886	
Black	Dot	968	1499	0.45	0.18591386	0.16445363	
Black	Dot	969	1500	0.3	0.026036523	0.08567274	
Black	Dot	970	1501	0.25	0.08838083	0.22560656	
Black	Dot	971	1502	0.555	0.2215039	0.12120232	
Black	Dot	972	1503	0.55	0.9818121	0.9557759	
Black	Dot	973	1508	0.305	0.27753004	0.3193647	
Black	Dot	974	1509	0.405	0.07117817	0.09371131	
Black	Dot	975	1510	0.25	0.07134236	0.1159546	
Black	Dot	976	1511	0.3	0.14112273	0.20996475	
Black	Dot	977	1512	0.31	0.05592519	0.09236818	
Black	Dot	978	1513	0.2	0.12329276	0.11121795	
Black	Dot	979	1515	0.155	0.20223658	0.15711392	
Black	Dot	980	1516	0.255	0.02924566	0.06700382	
Black	Dot	981	1517	0.1	0.03780862	0.1145833	
Black	Dot	982	1518	0.3	0.14639558	0.08581171	
Black	Dot	983	1519	0.35	0.17628159	0.13884147	
Black	Dot	984	1520	0.25	0.121939614	0.15825967	
Black	Dot	985	1524	0.51	0.12192331	0.23103997	
Black	Dot	986	1525	0.3	0.11497589	0.22363754	
